scenario,model,dataset,mae,rmse,mape,source,target
cross_condition,chronos,FD001,14.961430549621582,18.251981735229492,,FD001,FD001
cross_condition,chronos,FD002,15.894770622253418,19.029897689819336,,FD001,FD002
cross_condition,chronos,FD003,18.387371063232422,23.469629287719727,,FD001,FD003
cross_condition,chronos,FD004,19.656604766845703,23.881126403808594,,FD001,FD004
cross_condition,lag_llama,FD001,15.185806274414062,18.445571899414062,,FD001,FD001
cross_condition,lag_llama,FD002,16.12881088256836,19.237173080444336,,FD001,FD002
cross_condition,lag_llama,FD003,18.793994903564453,23.846324920654297,,FD001,FD003
cross_condition,lag_llama,FD004,19.896717071533203,24.08346939086914,,FD001,FD004
cross_condition,moment,FD001,15.890687942504883,19.02387809753418,,FD001,FD001
cross_condition,moment,FD002,16.02603530883789,19.150894165039062,,FD001,FD002
cross_condition,moment,FD003,20.337921142578125,25.222043991088867,,FD001,FD003
cross_condition,moment,FD004,19.7963924407959,24.002439498901367,,FD001,FD004
cross_condition,patchtst,FD001,15.071355819702148,18.337648391723633,,FD001,FD001
cross_condition,patchtst,FD002,15.783552169799805,18.939781188964844,,FD001,FD002
cross_condition,patchtst,FD003,18.667638778686523,23.72443199157715,,FD001,FD003
cross_condition,patchtst,FD004,19.541902542114258,23.78590202331543,,FD001,FD004
