model,dataset,zero_shot_mae,few_shot_mae,improvement_pct
moment,cmapss/FD001,15.890652656555176,15.707145690917969,1.154810753235533
moment,phm_milling,3.4266724586486816,3.7917609214782715,-10.654314564210306
moment,wind_scada,0.9089639782905579,0.9038813710212708,0.559164872390841
chronos,cmapss/FD001,14.961389541625977,15.864703178405762,-6.037631961032509
chronos,phm_milling,3.2122550010681152,3.792011260986328,-18.04826390574337
chronos,wind_scada,0.7015150189399719,0.8926066160202026,-27.239844040542526
lag_llama,cmapss/FD001,15.186690330505371,15.829662322998047,-4.233786154190184
lag_llama,phm_milling,3.2499477863311768,3.7960166931152344,-16.802390151643255
lag_llama,wind_scada,0.763439416885376,0.9028844237327576,-18.265366414571453
patchtst,cmapss/FD001,15.071355819702148,15.15208911895752,-0.5356737656597017
patchtst,phm_milling,3.216459035873413,3.2434885501861572,-0.8403500250207419
patchtst,wind_scada,0.7013115882873535,0.6992182731628418,0.29848574577581477
